ID,Tweet,Target,Stance
29,Now would be a great time to delete your idiotic account. #StupidWatergate #GreaseballJR #Trump,Donald Trump,AGAINST
30,Release the Mueller report without redactions if you have nothing to hide. #traitor #LockThemAllUp #Trump,Donald Trump,AGAINST
31,Oh so you think you are going to get people to believe that YOUR WORDS arent YOUR WORDS? Wow. Your base is stupid enough to believe you but the rest of us see your desperation. #Trump,Donald Trump,AGAINST
32,One of the new lows in the Trump Train Wreck. The White House should be embarrassed and ashamed. #IMPOTUS #GOPCoverup #GOPSenators,Donald Trump,AGAINST
33,"My 1 wish from this #COVID19 pandemic is that it makes rich people, poor people, starting with the #Trump",Donald Trump,AGAINST
34,Why cant Carsons medical licensed be revoked (even prosecuted) for violating do no harm? #Basic decent #housing is a healthcare issue. #Trump,Donald Trump,AGAINST
35,Your family steals charity money from kids with cancer. You would just steal the money because you're a thieving grifter. Just ask the NY AG. #Trump,Donald Trump,AGAINST
36,I miss Bush as President....Never thought I would be saying that! Trump makes me literally throw up! @realDonaldTrump #TrumpTowerTreason,Donald Trump,AGAINST
37,@realDonaldTrump didn't win shit. He is a paid man (read stooge) for the real man in the room. Daddy Putin.,Donald Trump,AGAINST
38,"Because it IS just his latest distraction! I think you mean well, but you should KNOW its truly something HE CAN NEVER DO! Nobody can possibly change our Constitution with an executive order! Its impossible it cant be done! Its a distraction! #TRE45ON #Trump",Donald Trump,AGAINST
39,@davidfrum arent the cases about seeing the taxes of the Trump *organization* a legally distinct entity that is also now in a blind trust his lawyers claim so double separation? #Trump @gtconway3d @PreetBharara,Donald Trump,AGAINST
40,Every single judicial seat filled by Trump and McConnell must be removed along with Trump. #CorruptJudiciary #CabinetOfHorrors,Donald Trump,AGAINST
41,I was 100% confident that the #Trump would go down in flames during the 2016 election. VOTE the buggers out.,Donald Trump,AGAINST
42,"Uhm, neither he nor anyone else in the #Trump get to decide that, including his POS orange father-in-law. Why the hell was that stupid question even ASKED?!?",Donald Trump,AGAINST
43,. From #Trump member @IvankaTrump theres no doubt she got her amoral attributes from #Individual1 @realDonaldTrump Esp since shes being investigated for the inauguration investigation FYI @Davos,Donald Trump,AGAINST
44,Wisconsin tax payers are now on the hook for $4 billion to pay for Foxconn to pollute 7 million gallons of Lake Michigan water a day. More corporate welfare. #Wisconsin #Foxconn #Trump,Donald Trump,AGAINST
45,Did you tell him the truth that you're really just a puppet? #PutinsPuppet #Trump,Donald Trump,AGAINST
46,"I dream of this day! Its your day, @realDonaldTrump , your day of long overdue reckoning.",Donald Trump,AGAINST
47,Thanks for letting me know I will be watching him #coronavirus #trumpcovidfails #Trump,Donald Trump,AGAINST
48,"Go get him Dems. We unlike republicans care about our country and prefer a legit President, one that is not a crook, and one that doesnt lie to the American people everytime he opens his mouth. He needs to be held accountable for almost destroying our country. #Trump",Donald Trump,AGAINST
49,"You sound really panicky today. Is everything alright? Did you not sleep well? Are you constipated? Or, is the fact that @DonaldJTrumpJr is about to be arrested got you cranky? Go back to bed and let the adults get to work. #NoWallNoWay",Donald Trump,AGAINST
50,How are the Stocks owned by the #Trump doing Dementia Don or did you sell most of them before you stopped lying about a hoax!?I #TrumpIsCorrupt,Donald Trump,AGAINST
51,"I'm thankful for, Nancy Pelosi, Adam Schiff, Jerry Nadler and all the Democratic representatives doing their job. Upholding and defending our Constitution and the rule of law. #LeningradLindsey #MoscowMitch #NunesNonsense #GymJordan #Trump",Donald Trump,AGAINST
52,"@harrylitman advice to @realDonaldTrump LAWYER UP! Because when the @TheDemocrats take the House, we WILL investigate YOU! No doubt about it! #Trump @MSNBC",Donald Trump,AGAINST
53,Ur part of the #Trump U should just stay home CAREFUL u might end up in jail like the rest of #CrookedTrump's former co-workers! @nytimes,Donald Trump,AGAINST
54,Shame on @realDonaldTrump who wouldnt want to share the spotlight with anyone. Disgraceful man worst POTUS ever! #TrumpIsAFelon #TrumpIsARacistRat,Donald Trump,AGAINST
55,Theres indictments waiting the day you leave office you POS @realDonaldTrump @POTUS #TrumpFail,Donald Trump,AGAINST
56,I despise @realDonaldTrump so much as well as his #Trump all of whom should be imprisoned! They have rendered such profound HARM to our nation between leveling our economy into major depression; facilitating pandemic w resultant Americans deaths in thousands-this is-,Donald Trump,AGAINST
57,"So am I! It's coming, we'll have a REAL President in 2020 and not that joke and embarrassment that we have now @realDonaldTrump #Trump Is going to be gone! America is totally fed up!",Donald Trump,AGAINST
58,"I dont think you were ever compared to an Ape. You have been called a Racist, bigot, liar, cheater, and a sexual predator, all deservedly. Did I mention liar? Thats a big one. #TrumpCheatsOnWives #TrumpGrabsPu$$y #Trump",Donald Trump,AGAINST
59,Actually your wrong it not to silence a woman at all! Its about wanting someone who has integrity ethical & moral values address the graduating class! Ivanka has is a known pathological liar who has nothing to offer the graduates #Trump,Donald Trump,AGAINST
60,"Junior? They have you on meds right? Look at daddy, you are on the path buddy. Get those voices in your head under control! #Trump",Donald Trump,AGAINST
61,Killers. Why? Why do they hate the natural world????? Serious. #ThereIsNoPlanetB #Trump,Donald Trump,AGAINST
62,Could you imagine the @GOP outrage if Obama made a call to a foreign leader asking them to look into the son of a #Republican. #Ukraine #Trump,Donald Trump,AGAINST
63,Way to go France! We have a banana republic headed by a murderous cartel #winning #Trump,Donald Trump,AGAINST
64,POTUS cannot pardon to obstruct justice in his Investigation. POTUS cannot pardon to obstruct justice in his Investigation. POTUS cannot pardon to obstruct justice in his Investigation. POTUS cannot pardon to obstruct justice in his Investigation. #Trump,Donald Trump,AGAINST
65,Michael Cohen was Deputy Finance Chair for the RNC. Great judgement guys. #ImpeachTheMF #Trump,Donald Trump,AGAINST
66,"Take my kids, for example. At least, I'm TOLD they're my kids. No proof. Don Jr, Ivanka and Eric were all born to an immigrant woman who WASN'T a US Citizen when they were born. They shouldn't have US Citizenship. DEPORT THEM ALL! #TrumpParasites #Trump",Donald Trump,AGAINST
67,He loves dictators who kill journalists. Why the hell was Ivanka there. She was elected by no one. #Nepotism #ivankaIsClueless #JamalKhashoggi #Trump,Donald Trump,AGAINST
68,These administrative criminals will be proclivities. It will all get out so why hide it? Maybe dear leader is getting his slush fund after all. #GrifterInChief #CorruptAndComplicitGOP #Trump,Donald Trump,AGAINST
69,I'm resigning effective immediately and taking my entire cabinet with me. #Trump,Donald Trump,AGAINST
70,It must never be forgotten that this grotesque unqualified family of grifters is brought to the world by the #GOP. #Conservatives in every major democracy are installing incompetent goons to dismantle all that is civil in a society. #Trump,Donald Trump,AGAINST
71,Vice President Mike Pence's Wife Karen Dragged for 'Inappropriate' Dress #SmartNews Id Rather Drag Karen for Her Inappropriate Husband... #VoteBlue2018 #Trump,Donald Trump,AGAINST
72,"Out of all the democrats running for president so far in 2020, Hillary Clinton is way more poised, qualified & experienced than all of them combined #2020. #Election2020 #GOPComplicitTraitors #Trump",Donald Trump,AGAINST
73,Hey Junior-what have you done for your country lately? Yeah I didnt think so - please stop posting about other ppl until youve EARNED some credibility of your own #Trump,Donald Trump,AGAINST
74,Have you paid back the American people for your hunt yet? #Trump,Donald Trump,AGAINST
75,Wheres the rest of the Bible thumping @GOP? Wheres #BunkerBoy and the #Trump ? Where are the photo op government officials? I dont see Christian AGBarr.,Donald Trump,AGAINST
76,And if the whistleblower is @KellyannePolls ? Should she be afraid? This potus has already incited violence that has killed people. This is what a Mob boss does. #Trump,Donald Trump,AGAINST
77,@realDonaldTrump I find it interesting that you claim your approval numbers are so high yet you're hiding in the bunker and felt the need to build a wall around yourself? Scared much? #TrumpBunkerSongs,Donald Trump,AGAINST
78,"... And the craziest part is Trump re-cast the Civil War that ended slavery as despicable, while at the same time Trump called for his supporters to start a civil war. #25thAmendmentNow",Donald Trump,FAVOR
79,Hopefully dirty Don spreads Coronavirus all through WH and Mar-A-Lago!! #Trump666 #Trump,Donald Trump,AGAINST
80,"The @NYTimes reports on the new lawsuit accusing Trump and three of his children (Don Jr., Eric, and Ivanka) of persuading people to invest in scams. #TrumpFoundation",Donald Trump,AGAINST
81,Nepotism and Corruption continue with Ivanka and Jared. Is daddy going to have #IvankaCoffinBarbie be in charge of all the funeral homes and demand that they only sell her coffins? #TrumpCoronaDisaster #Trump,Donald Trump,AGAINST
82,There is no empathy in the shallow end of the gene pool. #Trump,Donald Trump,AGAINST
83,"President Putin called to remind me he has me by the cajones & if I want to keep lining the personal coffers of the #Trump I better keep doing exactly what he tells me to do. There, fixed it!",Donald Trump,AGAINST
84,"So sickening that we have no one to check the lawlessness of the current administration. Praying voters make a difference and, in the end, prison for the entire #Trump and friends. @SpeakerPelosi hope your plan is flawless. Its being questioned every min. #Inthedark",Donald Trump,AGAINST
85,Lineup what youre claiming Comey did next to what the Man baby in the White House actually has committed in his criminal and corrupt policies and actions. Not even near. #RealDonaldTrump #Trump,Donald Trump,AGAINST
86,"No, honey. YOU are the delusional one. #Drumpf has done nothing but try to dismantle the democratic ideals for which America has always stood. But, we see you, Maureen, and we know why you REALLY like the #FakePresident45. #Trump",Donald Trump,AGAINST
87,"Throughout the conversation with Barr, Muellers main worry was that the public was not getting an accurate understanding of the obstruction investigation, officials said. #TraitorBarr #BarrLeadingCoverUp #ImpeachBarr #Trump",Donald Trump,AGAINST
88,Maggie - give it up. A joke about eye shadow is kid's play compared to some of the hideous crap SHS spews from behind her podium on a daily basis. She certainly deserves much worse than she got tonight. #Trump,Donald Trump,AGAINST
89,"Don Trump Jr. should spend five years in prison for this offense, and the maximum time for other offenses that will become known soon. #GOPCorruption #Trump RT",Donald Trump,AGAINST
90,"@realDonaldTrump would you like to be on the next promotion campaign? You looks so pretty ... with your friend! But for #America it would be cool, to kick you out with your brainless stuff! #Impeach45 #CrimesAgainstHumanity #Trump #RussianHacking #Resisters #MAGA gaga",Donald Trump,FAVOR
91,"Says the guy whose foundation got shut down for fraud, whose university got shut down for fraud, and whos being investigated by the SDNY, for bank fraud. #DeutscheBank #TrumpCorruption #LockThemAllUp #Trump",Donald Trump,AGAINST
92,Exactly how many tens of millions have you and fake diplomat Jared raked in since corrupt daddy took office? And let's talk about your sweat shops while we're talking about a whole new world. This trump family is just plain evil.,Donald Trump,AGAINST
93,If @IvankaTrump and #JaredKushner were treated like everyone else they wouldn't have the positions they hold in the #WhiteHouse #nepotism,Donald Trump,AGAINST
94,& @seanhannity is a Journalist! lol Maybe you should SUE the Adults that were polled @JennaEllisEsq or better yet have them talk to Rudy @RudyGiuliani #ObamaWasBetterAtEverything #ObamaDayJune14th #Trump,Donald Trump,AGAINST
95,You have the best ideas Eric. Please be sure and keep us updated and feel free to upload pictures of anything you think will help you prove #Trump 's innocence...#TrumpTaxReturns #TrumpEpstein photos etc. We will keep them ssfe for you ok sweetie.,Donald Trump,AGAINST
96,Maybe someday youll catch up to the better numbers under Obama. Nice try! Although youll probably all be in jail before then. #Trump,Donald Trump,AGAINST
97,"@realDonaldTrump You are a racist, sweetie. GTFO of OUR White House. #TraitorInChief #Treason",Donald Trump,AGAINST
98,in other words ........... We will protect the TRAITORS ....... at all cost !!! #fakepresident #putinspuppet #ReleaseTheFullMuellerReport #IStandWithSchiff #LockThemAllUp #Trump,Donald Trump,AGAINST
99,"Drumpf doesn't even truly represent Republicans, altho they're too corrupt to admit this. He represents no one other than his own #Trump &amp; #TrumpCrimeSyndicate!",Donald Trump,AGAINST
100,OMG...you could not write a more dramatic soap opera than what we're living thru right now #PLEASEMAKEITSTOP #IMPEACH45 #REMOVETHEDOTARDNOW #Trump Good talk... =^..^=,Donald Trump,AGAINST
101,"I nominate this landmark to replace ""The Strat"". The new #Trump #RICO Home.",Donald Trump,AGAINST
102,"That's ok Pam. We know hes a liar, thief, bully, etc etc. BUT we stand with you! Stronger together right And we don't watch Fox(trump)news either #TrumpFamily",Donald Trump,AGAINST
103,"#MyVisionForTheFutureIs A real #Flotus and #Potus that truly love America living in the WH with no grown ""offspring"" hanging out! #ImpeachTheTrumps #Trump",Donald Trump,AGAINST
104,"I don't use it day to day, but she's working in the WH , no experience, just got Chinese business kickbacks due to her proximity. It's apt as fuck. #IvankaTheComplicit #Trump",Donald Trump,AGAINST
105,We would read the transcript if only you released it #Trump,Donald Trump,AGAINST
106,"You lost your way a long time ago, was it when #Trump opened their wallet for you? ? ?",Donald Trump,AGAINST
107,"love this woman! Trump professional BS and conartist, conning and bs his way through this presidency....never met a Bible reader who didnt want to quote scripture lol #DontheCon #DonaldTrump #GOPBetrayedAmerica #AmericanGreed",Donald Trump,AGAINST
108,Trump is like the idiot criminal who gets caught by bragging about his crimes on social media. I have always said Trump will fall into the snare of his own words. He is his own downfall... #WaitForIt #TrumpWords #RussianAgents,Donald Trump,AGAINST
109,"Amen. @KamalaHarris is a true leader, born to lead our country out of our collective misery. Prosecute the heck outta @realDonaldTrump and family.",Donald Trump,AGAINST
110,ME TOO! Good idea but they are peaceful people unlike the hate filled #Trump,Donald Trump,AGAINST
111,Will taxpayers still be billed for his trips to Israel to work on the peace process while he wont have the information required to have useful conversations? (Never mind that he never had the skills or experience) #TrumpSwamp #JaredKushner #Trump,Donald Trump,AGAINST
112,"So from here (AUSTRALIA) that's it then is it. Trump is above the law #Trump has you by the balls USA. Someone better do something..ALL THE LIES LIES!! We thought the president had ""checks &amp; balances' BULLSHIT he's getting away with it ALL",Donald Trump,AGAINST
113,Thank you for your courage. I'm with you. You are a true patriot and American. You are what makes America great. Keep up the fight. #BillionDollarLoser #PedophileInChief #LockHimUp #Trump,Donald Trump,AGAINST
114,What the heck is he smoking? Did Putin tell him to say that? #BanAssaultWeaponsNow #Trump,Donald Trump,AGAINST
115,"Gosh, you know I never watched that press conference Melania was going to have long time ago to shame those who doubted her previous legal work status. Could someone provide a link to that? I can't seem to find it. #LockThemAllUp #Trump",Donald Trump,FAVOR
116,"Oh look. A crime scene as the set for a Republican campaign video, complete with the crime boss whose #MAGAShooter committed the crime and his #Trump accomplices",Donald Trump,AGAINST
117,Hahaha Nobody believes you! Lightly looked!?? You previously denied even that! Your outrageous lies will hang you! #Trump #lies #Mueller,Donald Trump,AGAINST
118,When will there be an investigation into #DonaldTrumps adult children doing business and profiting from foreign govt while hes in office?,Donald Trump,FAVOR
119,Some of us matter more than others of us? Ugh! #Trump,Donald Trump,AGAINST
120,"The orange buffoon is having a press conference now at the close of the G20. Going after the forgotten president #JimmyCarter. Can only take him in tiny doses, so need to go puke now. #Trump",Donald Trump,AGAINST
121,"Once again #Trump creepy @jaredkushner who btw "" Feckless "" or creepy Jared should even have a security clearance are raping taxpayers while enriching Come Jan 2021 we will have a real AG 2 investigate ALL TRUMPS CRIMES",Donald Trump,AGAINST
122,Ivanka pulled a similar scam in Panama and other South American countries. The #Trump also did that in Mexico. That's why he got into legal trouble there.,Donald Trump,AGAINST
123,Zero intent?! Oh.. thats why the baby adoption from Russia was used as a cover up #Trump,Donald Trump,AGAINST
124,"But wait! There's more! An in depth look at #Trump and his on his #HappyBirthdayPresidentTrump. @realDonaldTrump #Exposed for the #DonTheCon he's continued into office, but with opportunity so yuuuge, believe me, to fleece the taxpayers.",Donald Trump,AGAINST
125,"Please cite your source & what they stole. I think you have the CLASSY, EDUCATED, INTELLIGENT Obamas with the #Trump !",Donald Trump,AGAINST
126,#BarrCoverUp decides to bash #mueller &amp; support #Trump most legal scholars dispute barr's statements who do we believe? .@glennkirschner2,Donald Trump,AGAINST
127,No deal. The Jewish community CHOSE to accept her. No returns no cash back. #Trump,Donald Trump,AGAINST
128,#Trump may be in trouble!!! #Resisters #VoteBlue Judge Deals Setback to Trump Family: Ugly Pyramid Scheme Lawsuit Likely to Unfold in Public #SmartNews,Donald Trump,AGAINST
129,The Republicans are greatly underestimating how very angry the American people are. Do so at your own peril GOP cowards. #Trump,Donald Trump,AGAINST
130,"@realDonaldTrump Trump's whole life is based on lies!He has never accomplished anything honestly.Such a failure! Always lying,scheming with corruption-only cares about lining his pockets with $.It's all about him all the time! Doesn't care about us or America!",Donald Trump,AGAINST
131,Dont be surprised if he guts whatever FEMA money is designated for everyone in the area. He committed fraud around 9/11 we can expect him to do it again. #Trump,Donald Trump,AGAINST
132,@POTUS should be arrested by law enforcement not lecture them #Trump you are a very bad #President and not a very likeable human,Donald Trump,AGAINST
133,Actually #Trump and #GOPCorruptionOverCountry taking inventory of unproductives no longer getting a check from the government.,Donald Trump,AGAINST
134,Yes. The day you are locked up and removed from office. #WorstPresidentEver #TrumpIsGuiltyAF #NotMyPresident #Trump,Donald Trump,AGAINST
135,There is something deathly wrong with this man & anybody who thinks he ok in any way #GOPComplicitTraitors #GOPCrimeSyndicate #PutinsPuppets #IndictTheTrumpCrimeFamily #Trump,Donald Trump,AGAINST
136,"Thank you for clarifying... YES, we *URGENTLY* must conquer them--the *ENTIRE* #Trump and the rest of the #TrumpGOP!!! But ALAS effectively turned over much of the #WhiteHouse operations to Kushner--notwithstanding no clearance. LITERALLY. It's *HORRIFYING*.",Donald Trump,FAVOR
137,"Welp, the #Trump and the #GOP pretend every day to be the master race so there's that nonsense..",Donald Trump,AGAINST
138,NOPE! Its just beginning and you and your family better prepare for being in orange jumpsuits and behind bars for the rest of your pathetic lives #Trump oh...and get used to being completely broke!,Donald Trump,AGAINST
139,"Dont even go there. $970,000 profit on Trump international hotels on taxpayers backs, and thats only one of many. Endless gritting.",Donald Trump,AGAINST
140,Not as insane as stealing from your own charity for kids with cancer and being found guilty in a court of law. #RULEOFLAW #Trump,Donald Trump,AGAINST
141,"In a span of 6 weeks, Trump has removed 5 officials from posts leading their respective agencies' inspector general offices. #WhatIsTrumpHiding?",Donald Trump,AGAINST
142,#Indictments for #Individual1 and entire #Trump would be the best thing that could ever happen for the #USA since @realDonaldTrump illegitimate installation as @POTUS,Donald Trump,AGAINST
143,#TickTock Its all going to catch up with you soon the whole country will know what a thug you are. If you were innocent you would escort the 4 witnesses to this sham trial yourself. #TrumpIsCorrupt #ComplicitCorruptGOP #AmericansWantWitnesses #Trump,Donald Trump,AGAINST
144,"How desperate are you? Dragging up this old thing, really? And EVEN after Ivankaka and Jared and plus plus plus were found to have done the same? PULEEZE. JUST #ResignNow AND btw WE WILL NEVER ACCEPT AN IMMUNITY DEAL #TOJAILNOW #Trump",Donald Trump,AGAINST
145,The real 'big fat con job' is the one currently occupying the White House. #Trump,Donald Trump,AGAINST
146,"currently, then I have no objection to that happening. I want Karma to come at him like a bitch! Regarding the #Trump they also need to be jailed and the entire business taken apart brick-by-brick is that too much to ask?",Donald Trump,AGAINST
147,"The grift never ends. Lara Trump and Kimberly Guilfoyle are each receiving $15,000 per month through the campaign managers private company, GOP sources said, to dodge FEC rules. #Trump #GrifterInChief #Kleptocracy ?",Donald Trump,AGAINST
148,"The rush to privatize government is as much about the white power elite retaining control of our institutions when they become the demographic minority, as it is kleptocratic. It must be stopped! #corruption #KochBrothersAgenda #Trump",Donald Trump,FAVOR
149,"#triciaNewbold should be hailed as a nat'l hero for revealing the treasonous and corrupt behavior in Trump admin, NOT punished. #JaredKushner why is he in the WH? #Trump 'Whistleblower' in White House security clearance office gets suspended",Donald Trump,AGAINST
150,just another @realDonaldTrump diversion tactic to get the media talking about his beloved caravan again dont fall for it #LiarInChief #RacistInChief #LockThemAllUp #ComplicitAndBoughtGOP,Donald Trump,AGAINST
151,WTF do you know about law and order? Youve been breaking our Laws all your life and destroying our Countries order with your divisive comments and lack of leadership. #DictatorTrump #TrumpVirus2020 #Trump,Donald Trump,AGAINST
152,A starving population ripe for sweatshop work. That is what she sees. #Trump,Donald Trump,AGAINST
153,"This stuff moves so slowly its painful. The entire #Trump need to be indicted &amp; imprisoned. Please at least go after the #TrumpMobBoss and impeach him, now!",Donald Trump,AGAINST
154,"Steven Paddock was over 21, bought his weapons legally, killed 58 & injured 851. We want the #NRATerrorism #Trump Organization to #BanAssaultWeapons &amp; other common sense solutions NOW. #VoteThemOut #NeverAgain",Donald Trump,AGAINST
155,I don't believe Lindsey would turn down AG for a second-that position would give him the power to scuttle any/all Investigations into him & #Trump + #TrumpRussia. It'd be handing them the USA in a silver platter.,Donald Trump,AGAINST
156,"Followed, I wasnt in the party but would love to be part of your #FBRParty #FBR #endthisnightmare #Trump",Donald Trump,AGAINST
157,"2 things trump will never show #MuellerReportUnredacted #transcripts from his meetings and calls with Putin, Kim and all his other butt buddy dictators he loves #MAGA #AmericaFirst My Ass it all and only about #Trump first",Donald Trump,AGAINST
158,Visiting from Sedro Woolley Washington & am taking the 7:28 LIIR to Foley Square.. Will be so proud to be among hundreds of thousands of my dearest friends around the country for #FamilesBelongTogetherMarch against the regressive &amp; cruel policies of the #Trump,Donald Trump,AGAINST
159,Don't Have @JohnBrabender on any more. He adds nothing and won't answer your questions. #Trump must go!,Donald Trump,AGAINST
160,rooms. How about all families in a future ravaged by climate crisis and environmental destruction? Guess none of those families matter in your world. /x #CorruptKushners #Trump,Donald Trump,AGAINST
161,Interesting... hope shell look into @IvankaTrump shady China Deals too... or does the #Trump get immunity for their illegal business deals,Donald Trump,AGAINST
162,No surprise. Never forget @MELANIATRUMP is a money grubbing birther as despicable &amp; repugnant as #trump. No person of conscience would remain silent about @realDonaldTrumps sexual abuse of women &amp; children. @FLOTUS is a vile &amp; contemptible creature. #Trump of EVIL.,Donald Trump,AGAINST
163,"He is not concerned with the best interests of America, @RepNewhouse . He does not share your agenda. Unless, of course, your agenda is betraying our country. MAGA is a marketing scam. He lies daily. #Trump",Donald Trump,AGAINST
164,"#Trump doesn't care about anyone, but himself and those who can damage his interests...#NotMyPresident",Donald Trump,AGAINST
165,They were all applying for or receiving their membership cards in the #corrupt #PurgeGop #Trump,Donald Trump,AGAINST
166,$64 mil for a fence around the White House!!!! Who approved this extravagant expense? Who's paying for this? GET this man out of the White House! We can't afford anymore time with this #Trump in our government!!!!,Donald Trump,AGAINST
167,Thats the #Trump plan their total &amp; complete grift-a-thon is just one long game of Whack A Mole...,Donald Trump,AGAINST
168,The Trump presidency is just one big scandal. Hope it doesn't last 4 years!,Donald Trump,AGAINST
169,He is nothing but a bad fake. He isnt even good a faking #Trump,Donald Trump,AGAINST
170,Everyday the #Trump threatens our national security. Why does no one ever even attempt to stop the horrible things they do? #ComplicitGOP,Donald Trump,AGAINST
171,Waiting on the announcement that you'll be investigated the trump spawn.,Donald Trump,AGAINST
172,But I thought King @realDonaldTrump was a world class businessman with negotiating acumen??,Donald Trump,AGAINST
173,If its what you say it is I love it Anyone who isnt a spoiled rich ignorant treasonous (in the patriotic sense rather than legally) little bitch would know better than to meet with Russians The #Trump is nothing but corrupt lying grifters,Donald Trump,AGAINST
174,"#trump is a killer, conman, thief, grifter, cheater &amp; liar. You sheeple that support him are the same as he is. #fuckyou #ImpeachTrumpAgain",Donald Trump,FAVOR
175,He is so weak. Literally everyone in his life has signed an NDA. But hes so transparent & honest? #TrumpsNotWell #BunkerBoy #Trump,Donald Trump,AGAINST
176,Again with your tone deaf tweets. Were done with you and your family. #Trump,Donald Trump,AGAINST
177,Still not a reason to hold up aid that had already been approved. White House: How do we get out of this hole? Trump: Let's dig our way out! #ImpeachmentHearing #dishonestdonald #LiarInChief,Donald Trump,AGAINST
178,I suspect whatever crony he gave the contract to used inferior building materials and pocketed most of the money that was diverted from our military budget to pay for the stupid wall. #Trump,Donald Trump,AGAINST
179,"Negative & Fake describe you perfectly! Oh wait, I forgot CRIMINAL! You want a prize is that the deal? Keep waiting #FakePresident your prize is coming in 2020 when you HAVE TO LEAVE! #TrumpCrimesAgainstChildren #ReleaseTheFullMuellerReport #WeWantTheTruth #Trump",Donald Trump,AGAINST
